"num_caso","SEX","FEC_NAC","FEC_RIG_PEN","MON_PENSION","Edad","T_Pension"
151,"M","1955/05/16","2018/03/31",318787,65,2
152,"M","1955/06/11","2017/06/24",320412.8,65,3
153,"F","1955/02/25","2018/09/01",98423.1,65,2
154,"F","1955/06/16","2016/03/19",324120,65,4
155,"M","1955/06/11","2018/04/01",318787,65,2
156,"F","1955/07/16","2015/06/16",145800.6,65,5
157,"F","1955/05/12","2015/09/10",61139.05,65,5
158,"F","1955/06/26","2015/07/16",85015.7,65,5
159,"F","1955/07/21","2016/10/01",324120,65,4
160,"M","1955/07/19","2018/05/26",160736.8,65,2
161,"M","1955/07/15","2017/06/24",161077.25,65,3
162,"F","1955/07/13","2015/07/01",165144.2,65,5
163,"M","1955/02/26","2018/11/24",324120,65,2
164,"M","1955/05/29","2018/01/20",318787,65,2
165,"M","1955/07/10","2017/06/24",153596.3,65,3
166,"M","1955/07/20","2017/06/24",134574.25,65,3
167,"F","1955/07/28","2015/07/11",151719.2,65,5
168,"F","1955/07/29","2018/11/24",167852.7,65,2
169,"F","1955/08/22","2016/02/20",177398.25,65,4
170,"F","1955/08/05","2016/01/23",67457.8,65,4
171,"M","1954/10/02","2018/10/27",324120,66,2
172,"F","1955/06/20","2015/10/28",219311.15,65,5
173,"F","1955/09/28","2018/02/17",318787,65,2
174,"M","1955/09/08","2017/09/30",284178.15,65,3
175,"M","1955/08/28","2017/08/19",180345.35,65,3
176,"F","1955/09/03","2015/09/10",53780.5,65,5
177,"M","1955/08/14","2017/07/22",318787,65,3
178,"M","1955/08/03","2017/07/08",175908.05,65,3
179,"F","1955/09/04","2015/08/22",152255.5,65,5
180,"F","1955/09/13","2018/01/28",156229.25,65,2
181,"M","1955/09/25","2018/03/31",204540.75,65,2
182,"M","1955/04/14","2017/04/14",322912,65,3
183,"M","1955/06/09","2017/05/26",215497.35,65,3
184,"M","1955/09/05","2017/08/19",55007.8,65,3
185,"M","1955/08/21","2019/01/19",324120,65,1
186,"M","1955/08/12","2017/07/22",147872,65,3
187,"M","1955/09/03","2017/11/25",113995.15,65,3
188,"F","1955/09/18","2015/08/22",291782.1,65,5
189,"F","1955/09/24","2015/11/04",193064.65,65,5
190,"M","1955/09/02","2017/08/19",29340.55,65,3
191,"F","1955/07/18","2015/07/27",177445.75,65,5
192,"M","1955/09/29","2017/09/30",149262.85,65,3
193,"F","1955/11/01","2015/12/15",324120,65,5
194,"M","1955/09/28","2017/09/30",200373.7,65,3
195,"M","1955/10/22","2020/02/01",62512.55,65,0
196,"F","1955/09/10","2015/08/21",152248.7,65,5
197,"M","1955/10/20","2018/09/29",116527.55,65,2
198,"M","1955/11/19","2018/03/31",153473.5,65,2
199,"M","1955/11/09","2017/12/23",169611.65,65,3
